nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
323345021;3770QCT7GIIR;20.54;9.52;2.16;52;677;329;17088;cactus: CSP-W2070XSET
200167236;10421;11.1;3.71;3.0;29;432;221;6397;изи: LS-111S
192569274;4278;18.81;2.7;6.97;13;495;481;6248;изи: LH-W2410A
313183571;2287TTIQKQ4K;34.27;3.7;9.27;5;845;912;4561;изи: TC-S406B
324993492;5378VCCJI4SC;16.87;3.71;4.55;8;180;393;3142;изи: LC-069H BK
327898986;10325;11.1;7.06;1.57;25;359;121;3013;profiline: GP_KX-FAT410A7
253913048;5422;11.52;2.75;4.18;11;404;262;2877;изи: LC-067H BK
181116150;3435;34.27;3.68;9.31;3;845;913;2738;изи: TC-B217BK
521529213;4283IVFYA6R2;30.51;2.47;12.35;3;758;837;2510;cactus: CSP-W2210A
199574646;53551;10.8;2.8;3.86;10;362;239;2387;profiline: GP_CE278A/CE285A/CB435A
546074023;6603;44.4;5.94;7.47;2;1946;1147;2295;изи: LPM-TL-420X
200166303;02807;11.1;2.63;4.22;9;512;253;2274;profiline: GP_MLT-D104S
327898992;01111;10.8;6.16;1.75;16;363;138;2215;изи: TC-S4300
200165658;16664;11.1;3.3;3.36;9;309;233;2094;изи: TC-HCF230X
192567282;4296;41.98;9.52;4.41;2;1024;968;1936;cactus: CSP-W2030XSET
192228655;2287;34.27;3.7;9.27;2;1511;912;1824;изи: LS-C406
497150824;6413WFLI3MQB;9.9;2.39;4.14;8;353;224;1791;cactus: CS-TK5450C
326848543;0035;9.07;3.84;2.36;11;299;156;1716;sakura: SASCXD4200A
192567968;2139;34.27;9.0;3.81;2;1677;754;1508;profiline: GP_TK-5240K-Y_BK/C/M/Y
216422201;00351;9.07;4.14;2.19;10;324;147;1471;profiline: GP_SCX-D4200A
313188548;2240K58OJG4N;34.27;10.13;3.38;2;845;720;1440;изи: LB-241BK
192228659;2280;12.77;5.06;2.53;5;349;230;1150;изи: TC-HCF530A
200166276;02803;11.1;2.63;4.22;4;310;253;1011;profiline: GP_MLT-D104S
216356299;5147;23.71;8.1;2.93;2;602;466;932;profiline: PL_44844472_BK_Drum
343261039;5848K32P16N2;4.9;1.46;3.35;9;166;103;923;изи: LH-W1580X
209665679;3412;34.27;4.96;6.9;1;847;874;874;cactus: CR-KYTK8800K
192228155;1170;6.72;1.26;5.33;5;208;163;814;profiline: GP_TN-1075
215239468;33691;11.1;2.42;4.59;3;331;259;777;sakura: SATN2335
181115554;1666;11.1;2.51;4.42;3;310;256;769;sakura: SACF230X
199331222;5351;10.8;2.51;4.3;3;302;247;742;sakura: SACRG725
199335623;5360;9.5;1.25;7.6;3;273;246;739;profiline: GP_CE310A/CF350A/729_BK
199574658;53517;10.8;2.8;3.86;3;303;239;716;profiline: GP_CE278A/CE285A/CB435A
199331776;0242;9.5;3.58;2.65;4;273;177;707;sakura: SATK350
313183413;2280VTV2FXAO;12.77;5.06;2.53;3;574;230;690;изи: LH-CF530A
200167191;10428;11.1;3.71;3.0;3;306;221;662;изи: LS-111S
216354469;1189;11.1;3.72;2.98;3;475;220;661;sakura: SACE314A
199573317;23191;11.1;6.72;1.65;5;508;131;653;изи: LL-51B5000
215240041;4209;21.89;14.74;1.48;3;859;213;640;profiline: GP_W2070A-W2073A_BK/C/Y/M
181097496;0789;11.1;0.61;18.26;2;309;313;626;cactus: CS-PH6000M
199331035;0787;11.1;0.82;13.6;2;309;307;614;изи: LX-6000B
181105136;0370;34.27;24.0;1.43;2;1524;306;613;profiline: GP_CE310-13/729_BK/C/M/Y
181116389;2167;11.1;1.79;6.2;2;309;278;555;cactus: GG-TK5220BK
216401150;1293;11.1;2.31;4.8;2;281;262;524;изи: LM-TN116
215240022;3908;11.1;2.37;4.68;2;309;260;521;sakura: SAW2070A
216422173;1278;11.1;2.7;4.11;2;305;251;501;cactus: CS-D111L-MPS
262191959;5482;6.66;2.48;2.69;4;368;125;499;изи: LK-1248
199332699;0810;11.1;2.75;4.03;2;310;249;498;cactus: CS-CE412A
192228300;1329;11.1;2.76;4.03;2;558;249;498;cactus: CS-CLT-M404S
192228643;1330;11.1;2.76;4.03;2;310;249;498;cactus: CS-CLT-Y404S
209663303;02751;10.8;5.28;2.05;3;663;165;494;cactus: CS-D105S
181123524;1946;11.1;5.6;1.98;3;310;164;492;изи: DK-150
192228639;1042;11.1;2.9;3.83;2;309;245;489;profiline: GP_MLT-D111S_New chip
199332708;0811;11.1;2.93;3.78;2;310;244;487;cactus: GG-CE413A
199331545;3907;11.1;2.97;3.74;2;366;243;485;profiline: CG_W1106A
200165564;16662;11.1;3.3;3.36;2;310;233;465;изи: TC-HCF230X
199565557;13771;11.1;3.3;3.36;2;525;233;465;изи: TC-HCF218A
199330987;3671;11.1;3.4;3.27;2;310;230;460;cactus: CS-VLC7000M
236322685;3368;11.1;3.46;3.21;2;309;228;456;profiline: GP_TN-2235
200166062;11703;6.72;2.94;2.28;4;208;113;450;изи: LB-1075
199332709;0808;11.1;3.59;3.09;2;310;224;448;profiline: GP_CE410A_BK
200167189;10427;11.1;3.71;3.0;2;305;221;441;изи: LS-111S
200167238;10422;11.1;3.71;3.0;2;309;221;441;изи: LS-111S
216341469;5389;10.8;5.92;1.82;3;303;146;437;cactus: GG-1610D2
397557201;3258GVLN2LEE;5.12;1.47;3.48;4;171;109;435;sakura: SAZKTN-420X
181096298;0019;7.28;3.84;1.89;4;221;103;410;sakura: SAEP27
264450187;5497;11.1;4.62;2.4;2;310;193;387;cactus: CS-MC2000M
199335369;4130;6.66;2.47;2.7;3;188;125;375;profiline: GP_W1500A_no_chip
559712174;6238V27TYS2S;7.2;1.16;6.23;2;216;180;361;изи: IC-CCLI-426_MP
200166308;02802;11.1;5.06;2.2;2;366;180;361;изи: LS-104S
200166327;028010;11.1;5.06;2.2;2;295;180;361;изи: LS-104S
200166118;23151;6.72;5.06;1.33;7;342;50;347;изи: TC-B1095
216457748;3263;11.1;8.28;1.34;4;309;84;337;cactus: CS-DL-420P
209665330;3770;20.54;9.52;2.16;1;528;329;329;cactus: CSP-W2070XSET
199334840;3384;11.1;0.13;85.38;1;375;327;327;profiline: GP_106R03583
199331597;2979;11.1;0.13;85.38;1;310;327;327;profiline: GP_106R03745_BK
416649238;6102;13.6;2.94;4.62;1;368;318;318;изи: LB-1075
199333213;1096;11.1;0.58;18.97;1;309;314;314;cactus: CS-PH6500C
199330952;0788;11.1;0.61;18.26;1;806;313;313;cactus: CS-PH6000Y
199331762;0262;9.5;4.29;2.22;2;301;156;311;sakura: SA106R01277
200166692;07343;11.1;0.7;15.83;1;900;310;310;изи: TC-X3010
209663681;11451;11.1;6.0;1.85;2;938;152;304;profiline: PL_106R02723
323327599;2286JZQ5YV80;3.98;0.61;6.5;3;1297;100;301;изи: TC-X6000C
199334007;2169;11.1;1.13;9.82;1;309;297;297;profiline: GP_TK-5220M_M
199334008;2170;11.1;1.18;9.41;1;309;296;296;profiline: GP_TK-5220Y_Y
199332703;0783;11.1;1.3;8.56;1;310;292;292;sakura: SACF350A
199330792;1380;11.1;1.31;8.47;1;309;292;292;profiline: GP_CF233A
261153436;5290;14.0;4.46;3.14;1;377;284;284;sakura: SAT31
181118884;3262;7.55;2.8;2.7;2;269;142;283;profiline: CG_PC-211EV
215240293;3762;6.66;1.95;3.42;2;207;141;281;изи: LB-14
181115492;3201;11.1;1.73;6.42;1;309;280;280;profiline: GP_W1103A
199331203;2135;11.1;1.79;6.2;1;309;278;278;cactus: GG-TK5240BK
199330623;0740;15.08;5.95;2.53;1;402;272;272;sakura: SAQ6000A
215239481;2638;11.1;2.0;5.55;1;309;271;271;profiline: GP_TN-324/TN-512/TN-514_BK
199332102;0575;11.1;2.0;5.55;1;310;271;271;profiline: GP_TN-135BK_BK
313193668;0898BJH5U125;1.0;0.24;4.13;12;80;23;271;изи: IC-H109
326831330;0866;11.1;6.58;1.69;2;375;135;270;cactus: GG-TK4105
914275592;6785;5.7;3.45;1.65;4;185;67;268;sakura: SA071H
275794904;4667;6.91;2.51;2.75;2;168;131;263;sakura: SACTL-1100HK
215240040;3982;11.1;2.37;4.68;1;309;260;260;sakura: SAW2073A
439986868;3464;11.1;2.39;4.64;1;309;260;260;profiline: GP_W2410A_BK_no_chip
199331470;2294;11.1;2.47;4.49;1;310;257;257;cactus: GG-C045HBK
199332704;0809;11.1;2.75;4.03;1;310;249;249;cactus: CS-CE411A
192228226;1327;11.1;2.76;4.03;1;806;249;249;cactus: CS-CLT-C404S
200167516;32621;7.55;5.48;1.38;4;228;62;247;изи: TC-PM211EV
181082745;0208;9.5;1.26;7.54;1;273;246;246;sakura: SACE310A/729Bk
493592815;6384;12.24;4.03;3.04;1;336;245;245;sakura: SATL-R5220X
215239534;0220;10.8;2.6;4.15;1;302;245;245;sakura: SACRG726
253955516;5420;2.88;1.25;2.3;5;116;49;243;sakura: SA067HM
253957609;5421;2.88;1.25;2.3;5;152;49;243;sakura: SA067HY
265275992;5287;14.0;5.89;2.38;1;377;242;242;cactus: CS-T1A
804817300;5521;5.7;3.0;1.9;3;185;80;241;изи: TC-C071H
323108360;0205RQA3SHD2;10.8;2.72;3.97;1;302;241;241;profiline: GP_CE285X/725
181123617;1171;11.1;3.04;3.65;1;309;241;241;cactus: GG-DR1075
881930353;13775IEF6L1L;11.1;3.3;3.36;1;309;233;233;изи: TC-HCF218A
199331166;3351;11.1;3.37;3.29;1;806;231;231;profiline: GP_408294
199330999;3669;11.1;3.4;3.27;1;282;230;230;cactus: CS-VLC7000B
199331066;3670;11.1;3.4;3.27;1;310;230;230;cactus: CS-VLC7000C
199331046;3672;11.1;3.4;3.27;1;310;230;230;cactus: CS-VLC7000Y
447219910;6250;10.94;3.3;3.32;1;307;228;228;sakura: SAW2220A
199334171;2439;11.1;3.46;3.21;1;310;228;228;sakura: SACEXV49BK
199334687;3027;11.1;3.55;3.12;1;375;225;225;изи: LX-SC2020C
181116030;3028;11.1;3.55;3.12;1;310;225;225;изи: LX-SC2020M
216352805;3383;11.1;3.6;3.08;1;310;224;224;profiline: GP_C-EXV42_Drum
216405850;1333;11.1;3.6;3.08;1;310;224;224;profiline: GP_T-1640
192228174;0794;11.1;3.7;3.0;1;309;221;221;изи: LS-M406
216354204;1169;11.1;7.4;1.5;2;309;110;221;profiline: GP_101R00474_Drum
199333470;1361;11.1;3.74;2.97;1;375;219;219;sakura: SA106R02732
199334426;2760;11.1;3.77;2.94;1;310;219;219;cactus: CS-TK8335K
216360074;18352;11.1;7.45;1.49;2;327;109;218;profiline: GP_406990/407646
397556808;3258;5.12;1.47;3.48;2;171;109;218;sakura: SAZKTN-420X
566154551;2388;11.1;3.87;2.87;1;309;216;216;cactus: CS-TN423BK
199334763;3150;11.1;3.98;2.79;1;309;212;212;cactus: CS-TN241M
199335605;5336;6.72;3.17;2.12;2;208;106;212;cactus: GG-C703
439975498;5621;6.01;4.85;1.24;6;196;34;207;cactus: CR-KYTK5370K
209655407;0086;10.8;3.87;2.79;1;303;207;207;cactus: CS-C725X-MPS
199331154;0056;9.07;5.61;1.62;2;474;103;207;sakura: SAML1210U
181097521;0276;10.8;3.97;2.72;1;303;204;204;sakura: SAMLTD105L
199331190;2400;11.1;4.36;2.55;1;300;201;201;sakura: SATK5270K
199330896;2401;10.8;4.18;2.58;1;303;197;197;cactus: CS-TK5270C
199330897;2402;10.8;4.18;2.58;1;303;197;197;cactus: CS-TK5270M
209664814;2770;11.1;4.53;2.45;1;310;196;196;sakura: SATK8515K
199333248;1149;11.1;4.57;2.43;1;310;195;195;cactus: CS-WC232
181097417;0901;6.72;0.21;32.0;1;208;194;194;изи: IC-B1240BK
199331205;2414;11.1;4.59;2.42;1;310;194;194;profiline: GP_TK-8115Y_Y
264450194;5498;11.1;4.62;2.4;1;310;193;193;cactus: CS-MC2000Y
264401478;5496;11.1;4.62;2.4;1;310;193;193;cactus: CS-MC2000C
199565475;00281;9.5;6.27;1.52;2;736;96;193;изи: LH-53X U
199331153;0265;10.8;4.41;2.45;1;303;191;191;cactus: CS-CLT-K409S
324979782;1107VUMMPKB3;11.1;7.92;1.4;2;310;95;190;sakura: SA106R02312
262192027;5398;7.28;5.72;1.27;4;221;47;187;cactus: CS-S2010
474526695;6206;5.38;2.26;2.38;2;201;93;186;изи: TC-K1270
263821943;3843;1.5;0.26;5.7;5;120;37;185;cactus: GG-BT5000Y
199334108;2320;11.1;5.0;2.22;1;310;182;182;profiline: GP_CF237A
199334839;3367;11.1;5.02;2.21;1;1369;181;181;cactus: CS-TN2135
200166325;02809;11.1;5.06;2.2;1;375;180;180;изи: LS-104S
200166683;13672;11.1;5.06;2.2;1;310;180;180;изи: TC-X3020
200166638;13671;11.1;5.06;2.2;1;310;180;180;изи: TC-X3020
216429870;1849;15.23;9.29;1.64;1;407;177;177;cactus: CS-DU7120M
874380077;07467D3XIN60;11.1;5.28;2.1;1;282;174;174;изи: LH-505A U
199331208;1210;11.1;5.28;2.1;1;310;174;174;sakura: SATK895K
199572500;116811;11.1;5.39;2.06;1;310;170;170;изи: LC-737 U
199331101;0111;10.8;5.12;2.11;1;303;169;169;изи: LS-109
181097500;0036;9.5;3.97;2.4;1;273;165;165;sakura: SA013R00625
253019573;5530;8.28;5.53;1.5;2;245;82;164;cactus: GG-W1510X
216354658;2965;11.1;5.6;1.98;1;1332;164;164;изи: DK-1150
181115878;2315;6.72;1.32;5.09;1;202;161;161;profiline: CG_TN-1095
199331777;0254;9.5;4.14;2.3;1;231;160;160;profiline: GP_108R00909
292489053;5773;9.77;4.41;2.22;1;279;160;160;изи: TC-C070
216355680;3405;11.1;6.0;1.85;1;310;152;152;profiline: PL_E260X22G_Drum
199331788;0266;9.5;4.41;2.16;1;273;152;152;cactus: CS-CLT-C409S
199331420;2179;11.1;6.11;1.82;1;310;149;149;sakura: SACRG040HM
200166094;23154;6.72;5.06;1.33;3;208;50;149;изи: TC-B1095
199333216;1073;11.1;6.12;1.81;1;310;149;149;cactus: CS-WC5325
313183445;1144LCX3OOXQ;11.1;6.16;1.8;1;309;147;147;изи: LX-3260
200166660;11444;11.1;6.16;1.8;1;310;147;147;изи: TC-X3260
199331174;0502;11.1;6.21;1.79;1;375;146;146;sakura: SAE250A11E
199335399;4205;7.66;2.79;2.74;1;230;145;145;sakura: SAW2071A
681317388;0060;9.5;4.64;2.05;1;273;145;145;изи: TC-C719H
199334841;3448;11.1;6.25;1.78;1;310;145;145;изи: TC-HCF259X_NC
216354472;3024;11.1;6.38;1.74;1;376;141;141;изи: DC-EXV49
216429144;02769;10.8;6.16;1.75;1;303;138;138;изи: TC-S105L
843059126;1999;11.1;6.48;1.71;1;311;138;138;cactus: CS-DR512K
275794813;4669;6.91;2.51;2.75;1;213;131;131;sakura: SACTL-1100HM
865249536;23194N06ZN5Y;11.1;6.72;1.65;1;310;131;131;изи: LL-51B5000
200168126;5343;9.5;5.13;1.85;1;372;130;130;sakura: SAML1520
261996750;4364;10.21;5.86;1.74;1;753;130;130;sakura: SADL-420P
199335493;4481;6.76;2.52;2.68;1;489;126;126;profiline: GP_CTL-1100XK_BK
199333413;1306;11.1;6.88;1.61;1;310;126;126;sakura: SA50F5H00/50F5H0E
257945613;5406;7.2;3.0;2.4;1;565;125;125;profiline: GP_W1510A_no_chip
181115869;3434;6.72;2.52;2.67;1;208;125;125;profiline: GP_TN-217Y_Y
431869123;3431;6.72;2.53;2.66;1;208;125;125;profiline: GP_TN-217BK_BK
199335593;5339;7.28;5.19;1.4;2;221;62;125;sakura: SAQ7553A
215239527;0856;6.72;2.54;2.65;1;543;125;125;profiline: GP_TN-241BK_BK
199570218;01101;7.14;5.06;1.41;2;393;62;124;изи: TC-S1640
181095434;0328;1.2;0.16;7.5;4;81;31;124;profiline: PL_CN684HE_BK
